Index,X,Y,Area,Perimeter,CentroidX,CentroidY,Radius,Circularity
1,572.842,910.624,362,72.2843,572.367,910.367,11.8712,0.892382
2,515.213,885.106,78,33.6569,514.598,884.598,5.9291,0.836954
3,521.138,921.907,20.5,18.2426,520.577,920.927,3.53563,0.750037
4,626.19,903.249,156,47.3137,625.709,902.709,7.92155,0.827936
5,517.072,830.783,20.5,18.2426,516.577,829.927,3.53563,0.750037
6,474.855,244.297,196,52.9706,474.25,243.656,8.86409,0.875895
7,443.26,123.012,324,66.6274,442.737,122.737,10.9234,0.87859
8,512.516,694.738,96.5,38.7279,512.142,694.142,6.75473,0.853436
9,415.43,912.027,64,31.3137,414.932,911.932,5.0001,0.770734
10,435.156,822.618,20.5,18.2426,434.577,821.927,3.83705,0.770504
11,598.364,816.88,20.5,18.2426,597.577,815.927,3.83705,0.832319
12,543.422,739.455,24.5,19.4142,542.544,738.544,3.83705,0.832319
13,537.762,222.279,104,39.3137,537.183,221.631,6.87624,0.870289
14,497.335,196.558,20.5,18.2426,496.577,195.927,3.83705,0.770504
15,389.329,127.203,206,52.9706,388.673,126.673,8.97632,0.896487
16,494.215,107.966,42.5,26.2426,493.549,106.953,4.94985,0.750895
17,316.915,874.272,196,52.9706,316.25,873.656,8.97632,0.896487
18,454.265,736.507,20.5,18.2426,453.577,735.927,3.83705,0.770504
19,514.609,563.772,64,32.4853,514.052,563.052,5.85898,0.806145
20,477.389,635.654,20.5,18.2426,476.577,634.927,3.53563,0.750037
21,559.766,288.84,17.5,17.0711,558.971,287.971,3.83705,0.832319
22,579.824,204.827,17.5,17.0711,578.971,203.971,3.83705,0.832319
23,573.245,619.875,20.5,18.2426,572.577,618.927,3.83705,0.770504
24,506.506,511.048,20.5,18.2426,505.927,510.577,3.83705,0.770504
25,469.741,285.79,17.5,17.0711,468.971,284.971,3.83705,0.832319
26,600.158,118.313,24.5,19.4142,599.544,117.544,3.83705,0.832319
27,722.221,860.002,24.5,19.4142,721.544,859.544,3.53563,0.750037
28,276.114,842.203,386,72.2843,275.756,841.756,11.8712,0.892721
29,673.197,782.642,20.5,18.2426,672.577,781.927,3.83705,0.832319
30,596.001,727.323,112,39.3137,595.658,726.658,6.87624,0.870289
31,626.945,707.535,17.5,17.0711,625.971,706.971,3.53563,0.750037
32,699.565,155.692,186,52.9706,699.21,155.21,8.86409,0.875895
33,408.204,727.207,78,33.6569,407.598,726.598,5.85898,0.806145
34,398.588,578.937,17.5,17.0711,397.971,577.971,3.53563,0.750037
35,415.267,211.053,24.5,19.4142,414.544,210.544,3.83705,0.832319
36,291.958,171.447,196,52.9706,291.25,170.656,8.97632,0.886696
37,358.008,793.447,24.5,19.4142,357.544,792.544,3.83705,0.832319
38,316.725,711.765,300,66.6274,316.313,711.313,10.9234,0.87859
39,615.233,444.276,24.5,19.4142,614.544,443.544,3.83705,0.832319
40,641.249,325.411,24.5,19.4142,640.544,324.544,3.53563,0.750037
41,657.51,233.662,17.5,17.0711,656.971,232.971,3.53563,0.750037
42,737.513,730.244,20.5,18.2426,736.927,729.577,3.83705,0.770504
43,372.824,699.606,17.5,17.0711,371.971,698.971,3.83705,0.770504
44,692.951,646.6,17.5,17.0711,691.971,645.971,3.53563,0.750037
45,431.385,614.966,70.5,33.0711,430.586,614.059,5.9291,0.864223
46,630.252,540.572,20.5,18.2426,629.577,539.927,3.83705,0.832319
47,382.705,482.967,17.5,17.0711,381.971,481.971,3.83705,0.832319
48,385.675,317.652,17.5,17.0711,384.971,316.971,3.53563,0.750037
49,339.535,245.409,20.5,18.2426,338.927,244.577,3.83705,0.770504
50,741.869,191.181,374,72.2843,741.388,190.748,11.8712,0.892382
51,804.139,792.616,20.5,18.2426,803.577,791.927,3.53563,0.750037
52,831.975,749.199,374,72.2843,831.388,748.748,11.8712,0.892382
53,865.441,705.893,196,52.9706,864.656,705.25,8.97632,0.886696
54,119.384,634.098,206,52.9706,118.673,633.673,8.97632,0.896487
55,730.516,564.982,17.5,17.0711,729.971,563.971,3.53563,0.750037
56,702.708,391.078,20.5,18.2426,701.927,390.577,3.53563,0.750037
57,724.843,281.754,17.5,17.0711,723.971,280.971,3.53563,0.750037
58,230.403,813.221,24.5,19.4142,229.544,812.544,3.83705,0.832319
59,311.796,634.354,20.5,18.2426,310.927,633.577,3.83705,0.770504
60,761.968,586.891,300,66.6274,761.313,586.313,10.9234,0.87859
61,371.746,467.986,64,32.4853,371.052,467.052,5.9291,0.864223
62,320.111,379.464,24.5,19.4142,319.544,378.544,3.83705,0.770504
63,786.61,216.876,17.5,17.0711,785.971,215.971,3.53563,0.750037
64,290.884,745.719,17.5,17.0711,289.971,744.971,3.53563,0.750037
65,785.87,663.098,20.5,18.2426,784.927,662.577,3.53563,0.750037
66,772.698,456.691,300,66.6274,772.313,456.313,10.9234,0.87859
67,896.862,396.093,196,52.9706,896.25,395.656,8.86409,0.875895
68,247.735,395.04,312,66.6274,247.34,394.727,10.9234,0.87859
69,147.791,325.113,196,52.9706,147.25,324.656,8.97632,0.886696
70,535.483,91.8786,20.5,18.2426,534.577,90.9268,3.83705,0.770504
71,903.676,606.785,17.5,17.0711,902.971,605.971,3.53563,0.750037
72,114.315,582.565,312,66.6274,113.726,582.34,10.9234,0.881331
73,243.802,551.33,312,66.6274,243.34,550.727,10.9234,0.881331
74,733.863,475.281,20.5,18.2426,732.927,474.577,3.53563,0.750037
75,777.199,346.008,24.5,19.4142,776.544,345.544,3.53563,0.750037
76,182.467,285.132,324,66.6274,181.737,284.737,10.9234,0.883696
77,238.625,681.879,17.5,17.0711,237.971,680.971,3.53563,0.750037
78,280.135,550.764,20.5,18.2426,279.577,549.927,3.83705,0.770504
79,823.733,503.486,20.5,18.2426,822.927,502.577,3.83705,0.770504
80,902.595,451.177,374,72.2843,902.388,450.748,11.8712,0.892382
81,810.736,421.656,17.5,17.0711,809.971,420.971,3.53563,0.750037
82,853.732,299.17,20.5,18.2426,852.927,298.577,3.53563,0.750037
83,275.152,298.134,24.5,19.4142,274.544,297.544,3.53563,0.750037
84,815.24,585.631,20.5,18.2426,814.577,584.927,3.83705,0.770504
85,914.312,500.944,20.5,18.2426,913.577,499.927,3.83705,0.770504
86,209.098,238.473,24.5,19.4142,208.544,237.544,3.83705,0.832319
87,204.25,606.725,20.5,18.2426,203.577,605.927,3.83705,0.770504
88,100.653,529.531,17.5,17.0711,99.9714,528.971,3.53563,0.750037
89,282.979,461.084,20.5,18.2426,281.927,460.577,3.53563,0.750037
90,227.129,365.45,24.5,19.4142,226.544,364.544,3.83705,0.832319
91,162.824,731.353,20.5,18.2426,161.927,730.577,3.53563,0.750037
92,190.391,525.216,24.5,19.4142,189.544,524.544,3.83705,0.832319
93,110.144,423.845,20.5,18.2426,109.577,422.927,3.53563,0.750037
94,198.21,442.881,20.5,18.2426,197.577,441.927,3.83705,0.770504
95,459.582,933.555,17.5,17.0711,458.971,932.971,3.53563,0.750037
96,470.201,466.537,20.5,18.2426,469.577,465.927,3.83705,0.770504
